timestamps,X:VCD,X:Glc,X:Lac,X:Titer
0.0,13.5,13.5,0.0,0.0
1.0,12.47101063130138,1.9395067413155244e-07,12.61006744957349,0.0005509617911808684
2.0,10.345833147871918,0.0013908426105050152,23.602077546599332,0.021153912701704622
3.0,8.07758575197146,0.0017954280647755022,32.43406803757735,0.0418756386012639
4.0,6.081902434500341,0.0024130239373521003,39.201259397165416,0.062781351975214
5.0,4.4755968168477125,1.5387202185383305e-10,44.237316510741266,0.07333038832045848
6.0,3.244657623848378,-1.276000772908317e-09,47.915062480139504,0.07333039026201212
7.0,2.329277575069764,-1.4429536223015555e-09,50.56809196752838,0.0733303894455378
8.0,1.6610869107530144,-1.1127491099498286e-07,52.46629034968732,0.07333039265434978
9.0,1.1792178630173578,-7.306306408625509e-08,53.816874909234066,0.0733304079546053
10.0,0.8345211257432328,-1.1265288918314106e-08,54.77418099793803,0.07333040632023706
11.0,0.5893007102551444,1.8100645173174126e-08,55.450937676095705,0.07333040729944129
12.0,0.41551161553973354,-5.171798597703387e-08,55.92846031224498,0.07333040705380588
13.0,0.2926703680453394,5.450553827213171e-09,56.264963157001624,0.07333040756461787
14.0,0.20599429157583515,1.354129595407582e-08,56.50189636410876,0.0733304074060293
0.0,13.026315789473685,12.868421052631579,0.0,0.0
1.0,11.89487038133985,8.260317650336174e-06,12.116620643016658,0.0005473835327875736
2.0,9.663138065101869,0.0016310482385361032,22.498018884829772,0.02308555201449801
3.0,7.378965254946202,0.0021577266814625236,30.65991160286527,0.045790357163753265
4.0,5.437463123244568,-5.743270158398583e-11,36.77850476962466,0.0620747768609097
5.0,3.919869411088429,-2.2917752949143673e-09,41.23666038444105,0.062074778822257086
6.0,2.7872205001261374,-3.6108133902972948e-09,44.42813803601356,0.06207477914364941
7.0,1.9641539739773182,-7.477956741353888e-08,46.687162549451735,0.06207478302955782
8.0,1.375918513256474,3.083422218957629e-10,48.27432322971101,0.06207478417519135
9.0,0.9599949596545765,-1.2651334522345286e-09,49.38394847751618,0.06207478559044665
10.0,0.667979610588744,-5.396158686740965e-09,50.15709128826229,0.06207478542421686
11.0,0.46392970264437255,2.4656088884416234e-08,50.69454936805084,0.0620747854790053
12.0,0.32180390142136367,-4.4041545147664626e-08,51.067581230679956,0.06207478539867452
13.0,0.22302511620053772,4.166117706077799e-09,51.32621672292134,0.062074785417135916
14.0,0.15447341984642138,3.753038340629793e-11,51.505411385954396,0.062074785414919585
0.0,13.81578947368421,13.026315789473685,0.0,0.0
1.0,12.672022825673242,4.21885006810865e-06,12.871708160542468,0.0005483097793195274
2.0,10.376050077641207,0.001322468343860452,23.972532773939175,0.020198630775942653
3.0,7.989074351541736,0.0017312745149082132,32.77136163079526,0.03996318056090563
4.0,5.934510564365586,0.002358918608012133,39.42115132918906,0.059905566092802356
5.0,4.31224021532688,0.0033050221534670467,44.30527375638967,0.08011577140328846
6.0,3.089153888237605,-1.384623582645062e-10,47.828876293787125,0.09253255726403428
7.0,2.191909872420467,-1.1992301749107893e-08,50.34065692453185,0.09253256647137847
8.0,1.5456409097941952,-1.4916957763341625e-08,52.11738926893703,0.09253257624170567
9.0,1.085344637757457,-1.4270677868645715e-09,53.36765260426288,0.09253258159688177
10.0,0.7599390739342043,2.8222651634545447e-08,54.24434416771794,0.09253258070816085
11.0,0.53105027173427,-2.1324500585464726e-08,54.85756667168755,0.09253258091605106
12.0,0.37059970760422983,-3.13882563317569e-08,55.285791479193826,0.0925325806787351
13.0,0.25838756682671377,-2.150921138408198e-08,55.58448341051502,0.09253258073317884
14.0,0.18003417406110378,3.171237250784256e-11,55.79267201405113,0.09253258073026953
0.0,14.921052631578947,14.605263157894736,0.0,0.0
1.0,13.804768635716206,1.6899911532250087e-07,13.945078158473613,0.0005565271248361035
2.0,11.48460971213654,0.001153371587750201,26.128739034163775,0.01954205502987974
3.0,8.994021569905312,0.0014822280409617875,35.94718475755598,0.03861754101874214
4.0,6.792014685388553,0.0019818413854795673,43.492875498802746,0.05783172284689015
5.0,5.012904447034808,-1.1526229940393536e-10,49.12472582172986,0.07365530820772077
6.0,3.644192045095816,3.165506567281829e-09,53.249374197946175,0.07365530450854076
7.0,2.6230076289996966,-9.246174527345139e-10,56.23281345820405,0.07365530692703
8.0,1.875317145419542,1.2077263974125513e-09,58.372965857305815,0.07365531077330986
9.0,1.3345860544327213,-1.8323697992339423e-08,59.89953473363602,0.07365530442432511
10.0,0.946744212823907,2.9052648843640033e-08,60.984239966509655,0.07365530508099162
11.0,0.6701286679853,3.0119922010758446e-08,61.75283613580552,0.07365530489837505
12.0,0.4736013394085144,-1.3070181303051584e-08,62.296452733668445,0.07365530497282992
13.0,0.33435157516061864,4.928026201707883e-10,62.68041989150868,0.07365530492427506
14.0,0.2358656385911781,-2.152637388462319e-09,62.95139283958306,0.07365530492959292
0.0,13.5,13.973684210526315,0.0,0.0
1.0,12.601982973042572,4.194766572524737e-06,12.657423790243653,0.0005534550934215197
2.0,10.66557934819619,0.0012234199732779941,23.869171116605806,0.01925292453329085
3.0,8.511984138304928,0.0015425025325216742,33.070338313051856,0.03803845796078638
4.0,6.548878244338775,7.102689567373603e-11,40.27586998617887,0.05445729824106587
5.0,4.919627889599119,-2.264979641183693e-09,45.75220250930952,0.054457298512355465
6.0,3.638072370465868,2.8333075777012295e-09,49.83335126564006,0.054457300995622585
7.0,2.661849945631988,1.8509416299122748e-08,52.83514304495069,0.05445729904911287
8.0,1.9333643356612253,-2.2081329986726567e-08,55.023351698260775,0.05445730767325121
9.0,1.3971176694695229,-1.6385704539489437e-09,56.60863170641904,0.05445730615666105
10.0,1.0060133055566258,-1.7961372725203387e-09,57.75216892883555,0.054457306505851184
